search_id,street_no,street_dir,street,street_typ,unit_no,zip,results_num,possible_matches_num
413,6810,SE,45TH,AVE,,97206,4,4
414,1820,NE,WASCO,ST,,97232,1,1
415,21100,NE,SANDY,BLVD,#100,97024,258,0
416,8712,N,DECATUR,ST,201,97203,32,1
417,6240,SW,Burlingame,AVE,,97239,1,1
418,17,SW,PALATINE HILL,RD,,97219,2,1
419,2420,NW,Pettygrove,,,97210,2,2
420,1221,SW,10TH,AVE,1807,97205,70,0
421,408,NW,12TH  (PENTHOUSE),AVE,605,97209,0,0
422,9333,N,LOMBARD,ST,25,97203,31,1
423,7910,SW,31st Unit 205,AVE,205,97219,0,0
424,1926,W,Burnside,ST,514,97209,265,1
425,30,,6TH,ST,,97024,0,0
426,625,SW,Comus,CT,,97219,2,2
427,8063,N,LEAVITT,AVE,,97203,1,1
428,5809,NE,10TH,AVE,,97211,1,1
429,2141,NW,DAVIS,ST,102,97210,22,1
430,400,NE,100TH,AVE,409,97220,106,1
431,922,NW,11TH,AVE,1202,97209,140,1
432,2442,NW,Westover,RD,K 301,97210,9,0
433,5740,SW,Vermont,ST,,97219,1,1
434,1136,NW,PARK RIDGE,LN,,97229,0,0
435,311,NW,12TH,AVE,1601,97209,63,1
436,3937,NE,37TH,AVE,,97212,2,2
437,1926,W,Burnside,,1216,97209,265,1
438,1515,NE,HALE,PL,,97030,1,1
439,3601,SW,River,PKWY,303,97239,314,1
440,590,NW,SAINT HELENS,AVE,,97229,4,0
441,3601,SW,RIVER,PKWY,2600,97239,314,1
442,937,NW,GLISAN,ST,1532N,97209,131,0
443,3601,SW,RIVER,PKWY,802,97239,314,1
444,5050,SW,LANDING,DR,304,97239,14,1
445,4926,SW,CORBETT,AVE,206,97239,37,1
446,725,NW,FLANDERS,ST,#206,97209,65,0
447,837,NE,90TH,AVE,,97220,1,1
448,18600,NW,SAUVIE ISLAND,RD,,97231,0,0
449,7639,N,CURTIS,AVE,,97217,0,0
450,4909,SW,Lowell,ST,,97221,1,1
451,700,SE,MARION,ST,C,97202,7,0
452,1258,NW,SHATTUCK,WAY,107,97030,31,1
453,7447,N,Huron,AVE,,97203,1,1
454,1900,SW,RIVER-THE STRAND,DR,1102,97201,0,0
455,3601,SW,RIVER,PKWY,1602,97239,314,1
456,2454,NW,Westover,RD,A 202,97210,30,0
457,5250,SW,LANDING,DR,1-305,97239,47,0
458,1,,EAGLE CREST,DR,,97035,0,0
459,3601,SW,River,PKWY,1302,97239,314,1
460,7931,SW,40TH,AVE,L,97219,13,1
461,3125,SE,BELMONT,ST,,97214,3,3
462,12429,SE,BOISE,ST,3,97236,1,1
463,4119,N,ALBINA,AVE,,97217,2,1
464,2323,SW,PARK,PL,802,97205,1,0
465,2221,SW,1ST,AVE,1522,97201,153,1
466,18525,NE,MARINE,DR,C-3,97230,136,0
467,3601,SW,River,PKWY,2314,97239,314,1
468,3601,SW,River,PKWY,333,97239,314,1
469,4755,SW,CALDEW,ST,C,97219,4,1
470,841,SW,GAINES,ST,612,97239,220,1
471,1920,SW,RIVER DR E1303,DR,1303,97201,0,0
472,6824,NE,EMERSON,ST,0,97218,1,0
473,8355,NE,BROADWAY,ST,,97220,1,0
474,3101,,MCNARY,PKWY,10,97035,0,0
475,669,NE,162ND,AVE,B204,97230,1,0
476,3930,SE,162ND,AVE,24,97236,113,1
477,1949,SE,PALMQUIST,RD,34,97080,245,2
478,227,NE,61ST,AVE,1,97213,3,1
479,707,N,HAYDEN ISLAND,DR,324,97217,90,0
480,5729,N,WILBUR,AVE,,97217,2,2
481,,,NE Freemont Blvd.,,,97213,0,0
482,166,,OSWEGO SMT,,,97035,0,0
483,5031,SE,POWELL,BLVD,,97206,1,0
484,2630,N,Hayden Is,DR,#35,97217,103,0
485,10151,NW,WILSHIRE,LN,,97229,1,1
486,1133,NW,11TH,AVE,215,97209,66,1
487,1822,NE,19TH,ST,,97030,1,1
488,937,NW,GLISAN,ST,1231E,97209,131,0
489,1030,NW,12TH,AVE,TH10,97209,178,2
490,3601,SW,River,PKWY,513,97239,314,1
491,2616,SW,WATER,AVE,,97201,2,2
492,104,SE,73RD,AVE,104,97215,1,1
493,2916,SE,WOODSTOCK,BLVD,,97202,0,0
494,707,N,HAYDEN ISLAND 303,DR,303,97217,0,0
495,1811,NW,Couch,,208,97209,57,1
496,1604,SE,CESAR E CHAVEZ,BLVD,,97214,1,1
497,922,NW,11TH,AVE,608,97209,140,1
498,8413,SE,23RD,AVE,,97202,1,1
499,1010,NW,NAITO M-10,PKWY,M-10,97209,0,0
500,1830,NW,RIVERSCAPE,ST,701 U,97209,79,0
501,429,N,Bridgeton,,11,97217,71,8
502,4109,NE,8TH,ST,,97030,1,1
503,2454,NW,Westover,,A502,97210,30,0
504,255,SW,HARRISON,ST,15D,97201,222,1
505,3913,NE,Hancock,ST,401,97212,12,1
506,311,NW,12th,,1204,97209,63,1
507,1501,N,HAYDEN ISLAND,DR,99c,97217,220,0
508,4320,SW,CORBETT,AVE,302,97239,58,1
509,8819,SE,ELLIS,ST,9,97266,14,1
510,2647,SE,136TH,AVE,,97236,1,1
511,45,,EAGLE CREST,DR,515,97035,0,0
512,12617,SE,DIVISION,ST,B,97236,3,1
513,2325,NE,FLANDERS,ST,18,97232,21,1
514,410,NW,18TH,AVE,101,97209,19,1
515,27448,NW,St. Helens,RD,#424,97056,42,0
516,3028,NE,149TH,AVE,,97230,1,1
517,1725,,238TH,DR,,97060,0,0
518,323,NW,13TH,AVE,402,97209,16,1
519,255,SW,HARRISON,ST,18H,97201,222,1
520,255,SW,HARRISON,ST,26A,97201,222,1
521,841,SW,GAINES,ST,1402,97239,220,1
522,3250,SE,87TH,AVE,,97266,2,2
523,1125,NW,9TH,AVE,523,97209,153,1
524,8333,SE,13TH,AVE,,97202,3,2
525,1425,NW,23RD AVENUE,,,97210,0,0
526,1900,SW,RIVER,DR,C1606,97201,68,0
527,1433,SE,30TH,AVE,,97214,1,1
528,2445,NW,WESTOVER,RD,503,97210,66,1
529,1900,SW,RIVER,DR,A 701,97201,68,0
530,26400,NW,St.Helens,RD,Sp 9,97256,0,0
531,689,NE,162nd Ave.,,C108,97230,0,0
532,1616,SW,HARBOR,WAY,411,97201,53,1
533,3939,N,MARINE,DR,16,97217,60,4
534,1610,SW,58TH,AVE,6,97221,0,0
535,3601,SW,RIVER,PKWY,519,97239,314,1
536,11960,SE,Bush,ST,D,97266,5,1
